Date,X,GE,APPL,GOOG,F,
8/9/17,23.93,24.69,158.59,922.90,10.36,
8/10/17,23.69,24.29,153.54,907.24,10.22,
8/11/17,23.01,24.20,155.68,914.39,10.22,
8/14/17,23.18,24.35,158.02,922.67,10.35,
8/15/17,23.56,24.14,159.75,922.22,10.28,
8/16/17,24.48,24.10,159.11,926.96,10.25,
8/17/17,23.60,23.76,156.05,910.98,10.09,
8/18/17,23.55,23.57,155.70,910.67,10.02,
8/21/17,23.17,23.51,155.41,906.66,10.03,
8/22/17,24.10,23.62,157.95,924.69,10.10,
8/23/17,24.73,23.42,158.15,927.00,10.16,
8/24/17,24.65,23.33,157.45,921.28,10.16,
8/25/17,24.78,23.51,158.03,915.89,10.27,
8/28/17,25.14,23.49,159.62,913.81,10.24,
8/29/17,25.80,23.47,161.05,921.29,10.28,
8/30/17,26.68,23.31,161.48,929.57,10.38,
8/31/17,26.44,23.57,162.12,939.33,10.46,
9/1/17,26.82,24.14,162.17,937.34,10.77,
9/5/17,27.06,23.76,160.23,928.45,10.78,
9/6/17,27.34,23.93,160.06,927.81,10.91,
9/7/17,27.51,23.06,159.42,935.95,10.82,
9/8/17,26.79,22.87,156.82,926.50,10.78,
9/11/17,26.69,22.77,159.65,929.08,10.83,
9/12/17,26.49,22.96,159.02,932.07,11.00,
9/13/17,26.49,23.15,157.82,935.09,11.02,
9/14/17,25.45,23.29,156.47,925.11,10.97,
9/15/17,24.93,23.21,158.05,920.29,11.02,
9/18/17,25.37,23.72,156.85,915.00,11.03,
9/19/17,25.49,23.47,156.91,921.81,11.12,
9/20/17,25.63,23.58,154.28,931.58,11.11,
9/21/17,24.51,24.00,151.64,932.45,11.12,
9/22/17,23.68,24.12,150.15,928.53,11.23,
9/25/17,23.90,24.35,148.83,920.97,11.33,
9/26/17,24.21,24.18,151.39,924.86,11.32,
9/27/17,25.03,23.63,152.47,944.49,11.34,
9/28/17,25.28,23.51,151.53,949.50,11.35,
9/29/17,25.50,23.45,152.36,959.11,11.36,
10/2/17,25.97,23.83,152.05,953.27,11.47,
10/3/17,26.15,24.05,152.71,957.79,11.71,
10/4/17,26.29,23.74,151.72,951.68,11.67,
10/5/17,26.37,23.80,153.61,969.96,11.62,
10/6/17,25.89,23.65,153.52,978.89,11.68,
10/9/17,24.86,22.72,154.06,977.00,11.71,
10/10/17,24.82,22.65,154.12,972.60,11.76,
10/11/17,25.04,22.37,154.76,989.25,11.75,
10/12/17,25.40,22.35,154.22,987.83,11.50,
10/13/17,27.19,22.28,155.19,989.68,11.43,
10/16/17,26.50,22.65,158.05,992.00,11.50,
10/17/17,26.46,22.49,158.63,992.18,11.64,
10/18/17,27.08,22.42,157.93,992.81,11.57,
10/19/17,27.51,22.87,154.20,984.45,11.60,
10/20/17,28.25,23.11,154.46,988.20,11.62,
10/23/17,27.81,21.64,154.38,968.45,11.57,
10/24/17,28.51,21.23,155.30,970.54,11.71,
10/25/17,27.93,20.85,154.62,973.33,11.57,
10/26/17,27.52,20.67,155.61,972.56,11.79,
10/27/17,26.91,20.16,161.18,1019.27,11.58,
10/30/17,26.29,19.79,164.81,1017.11,11.62,
10/31/17,25.16,19.55,167.11,1016.64,11.79,
11/1/17,27.13,19.41,164.98,1025.50,11.86,
11/2/17,27.42,19.34,166.19,1025.58,11.93,
11/3/17,26.87,19.53,170.53,1032.48,11.87,
11/6/17,27.34,19.52,172.26,1025.90,11.84,
11/7/17,26.78,19.60,172.81,1033.33,11.68,
11/8/17,27.10,19.51,174.22,1039.85,11.58,
11/9/17,26.98,19.38,173.87,1031.26,11.57,
11/10/17,27.34,19.87,173.29,1028.07,11.54,
11/13/17,27.50,18.44,172.60,1025.75,11.68,
11/14/17,26.55,17.36,169.99,1026.00,11.55,
11/15/17,26.99,17.71,167.75,1020.91,11.53,
11/16/17,27.01,17.70,169.75,1032.50,11.57,
11/17/17,27.16,17.66,168.81,1019.09,11.54,
11/20/17,27.73,17.44,168.64,1018.38,11.65,
11/21/17,28.03,17.29,171.77,1034.49,11.64,
11/22/17,28.38,17.60,173.58,1035.96,11.59,
